Mag Temperature
7.02000 6128.71134
11.43000 3734.31731
10.58000 4721.23287
5.71000 6644.39655
5.56000 8829.58056
6.44000 5142.90623
6.23000 6890.90974
9.10000 5391.63116
8.80000 5699.21418
9.08000 5369.66825
4.34000 8402.69528
7.48000 6010.95011
4.51000 4532.17737
7.74000 5646.52594
7.24000 5372.79414
8.95000 5653.49077
5.21000 7337.07925
8.47000 6644.39655
7.18000 6187.35925
5.70000 6734.56756
8.25000 5793.07969
9.97000 4690.53022
7.88000 6145.34542
11.54000 3875.00603
6.65000 6853.72830
7.00000 6191.59470
10.62000 4497.54755
7.83000 5738.52629
9.50000 4685.84406
7.30000 5194.75622
9.88000 4735.54681
8.53000 5584.65810
8.37000 5756.58811
6.59000 6864.30703
6.85000 6091.63661
5.92000 6843.18492
8.29000 5656.98009
7.12000 6059.08394
10.29000 4603.14856
11.96000 4008.54929
5.98000 6299.55126
8.41000 5517.59183
6.27000 6610.03210
9.14000 5106.13687
6.90000 6366.29886
9.29000 4742.73818
8.40000 5574.48731
7.18000 6610.03210
7.62000 6145.34542
7.93000 5567.72874
8.69000 5487.96948
8.15000 5852.50941
3.93000 4810.98656
7.32000 5882.71761
8.46000 5674.49599
7.78000 5811.51208
11.03000 4308.72701
9.88000 4576.26182
9.98000 4845.89513
10.73000 4368.44640
6.74000 5837.52971
6.03000 6977.56575
10.97000 4152.06714
10.47000 4058.10735
8.83000 5401.10255
7.85000 6145.34542
7.15000 5560.98765
8.83000 5401.10255
6.99000 4996.41583
9.40000 5250.70638
8.71000 5078.23001
7.08000 6547.22248
9.87000 4407.17567
8.53000 5363.42810
7.85000 5940.26976
9.13000 5618.84910
8.92000 4983.05076
11.64000 3937.34585
8.09000 5484.69904
6.20000 6859.01324
10.28000 4388.74077
7.53000 6022.90635
7.45000 5901.76826
8.40000 5554.26397
9.13000 5067.15762
10.12000 4392.82342
10.61000 4660.24558
8.51000 5221.10015
7.27000 5963.63075
8.74000 5653.49077
10.13000 4506.15275
6.38000 7066.62765
7.13000 5826.34878
7.93000 5727.74733
7.07000 6091.63661
8.96000 5341.70865
5.92000 7449.17681
5.96000 6780.65661
11.48000 4046.02831
8.61000 5800.43759
11.48000 3970.13300
10.08000 4525.64162
11.48000 4094.80061
10.35000 4448.73013
9.31000 4771.73566
6.77000 6537.67389
12.49000 4051.19584
9.36000 4891.57251
6.07000 7123.56036
6.15000 6634.53870
9.62000 4943.40587
9.19000 4858.49261
8.07000 5774.77214
6.87000 6393.42769
4.79000 7526.01438
7.99000 5742.12894
8.93000 5289.73268
8.76000 5448.99669
6.84000 6063.13255
10.16000 4328.44241
7.06000 6343.88060
3.82000 9835.40463
8.18000 5782.08027
6.88000 5727.74733
7.70000 5800.43759
11.86000 3990.08000
11.54000 4051.19584
8.69000 5527.54196
7.30000 5622.29284
7.36000 6149.51914
6.45000 6955.68024
8.80000 5487.96948
8.68000 5656.98009
10.03000 4742.73818
8.95000 5295.79158
8.55000 5036.97082
7.50000 6195.83640
11.22000 4173.97632
10.94000 4216.65232
8.91000 5050.64470
7.63000 5588.05718
5.64000 6091.63661
6.00000 6785.81991
9.70000 4648.70707
7.89000 5717.01162
5.65000 6187.35925
7.00000 5774.77214
10.87000 4521.29546
6.05000 6848.45220
8.07000 5478.17062
9.11000 5050.64470
5.57000 6299.55126
5.79000 6679.15048
11.15000 4139.39746
7.50000 6238.60049
6.91000 5878.92330
7.61000 5807.81555
7.61000 6071.24725
10.03000 4766.87678
9.98000 5004.47140
11.75000 3802.55354
9.43000 4983.05076
4.08000 9720.00804
7.90000 5800.43759
10.67000 4396.91404
5.81000 7532.49589
6.96000 6103.94112
5.36000 6906.97920
11.31000 3668.57621
8.00000 5465.16339
9.79000 4853.44531
8.65000 5588.05718
6.79000 6885.57129
9.10000 5053.38892
10.12000 4298.93971
5.13000 9135.36995
10.13000 4591.90543
5.29000 7392.66385
8.56000 5611.97514
4.46000 8545.55281
8.03000 5720.58540
11.74000 4022.09393
9.78000 4766.87678
7.77000 5860.03023
7.49000 5720.58540
7.57000 6238.60049
9.81000 4980.38682
9.98000 4779.04362
11.03000 4179.49146
8.42000 5615.40987
10.51000 4569.59170
12.33000 5280.67193
11.73000 4034.02407
6.48000 6343.88060
5.30000 7532.49589
8.30000 5574.48731
9.44000 4678.83330
5.21000 6822.20345
4.11000 4728.37841
9.09000 4932.94639
8.59000 5168.69313
8.55000 5826.34878
10.28000 3854.68006
5.98000 6729.48846
6.09000 5061.64061
10.21000 5053.38892
8.28000 5897.94755
8.04000 5452.22187
7.44000 6014.92985
7.07000 6238.60049
10.61000 4685.84406
6.96000 5837.52971
8.39000 5366.54624
6.48000 6950.23216
6.28000 6961.13761
6.94000 4850.92582
12.04000 3881.30514
7.56000 6030.90563
10.48000 4314.62184
8.86000 5131.53284
10.32000 4662.56053
8.17000 5650.00606
8.66000 5699.21418
8.75000 5544.21094
9.03000 5250.70638
5.97000 6490.37923
10.20000 4598.64436
3.89000 4540.92266
8.57000 5338.62115
7.56000 6059.08394
5.44000 7880.11071
9.33000 5253.68666
2.88000 8765.67710
10.59000 4815.94093
8.94000 4991.06070
8.48000 5681.53489
8.45000 5106.13687
6.72000 5983.24956
9.21000 4644.10850
10.78000 4429.92922
6.38000 7423.94377
7.10000 6411.65278
7.69000 5852.50941
5.12000 7164.01187
5.26000 8217.57944
8.39000 5369.66825
7.36000 5699.21418
7.85000 5807.81555
8.48000 5250.70638
9.06000 5206.42968
11.13000 4718.85609
6.90000 6295.15505
8.51000 5567.72874
7.05000 6124.56795
4.85000 9708.63371
7.29000 5944.14961
5.92000 6674.16152
7.56000 5951.92564
7.64000 5856.26723
8.15000 5494.52286
11.90000 3886.04348
8.12000 5875.13423
10.10000 4362.39642
10.26000 4886.45232
7.85000 5913.26236
10.22000 4901.84702
7.48000 6238.60049
9.40000 4996.41583
7.38000 6099.83368
7.78000 5901.76826
10.64000 4226.05086
11.91000 4049.47180
9.22000 5385.33653
12.25000 3816.20856
9.67000 4655.62294
9.67000 5180.24235
9.92000 4655.62294
6.40000 6204.33862
9.86000 4737.94138
8.43000 5501.09296
4.96000 9530.58487
10.70000 4508.30946
5.94000 6537.67389
8.84000 5598.28101
8.83000 5045.16571
10.28000 4157.52186
9.54000 4891.57251
9.71000 5092.14288
11.41000 3932.47638
8.23000 5894.13213
10.29000 5955.82186
11.81000 3958.59295
8.29000 5471.65876
9.54000 4969.76118
7.45000 5720.58540
6.79000 6238.60049
8.08000 5670.98353
10.54000 4587.42435
7.29000 6375.31414
8.88000 5151.47146
7.48000 6295.15505
7.05000 6600.28425
6.20000 6471.66783
6.14000 5020.66538
10.30000 4308.72701
9.43000 4996.41583
10.87000 4260.25190
8.85000 5329.38141
12.45000 3879.72836
7.65000 6046.97292
7.62000 5999.04476
8.86000 5501.09296
9.63000 4828.37418
8.98000 5250.70638
6.73000 5913.26236
8.66000 5581.26343
9.03000 4536.54558
6.81000 6490.37923
8.21000 5226.99298
6.82000 6200.08437
6.96000 4855.96757
8.65000 5629.19386
9.46000 4514.79264
7.93000 5724.16397
6.77000 6361.80153
11.86000 6571.22657
5.59000 8041.21124
10.61000 4250.69360
7.48000 6034.91384
8.62000 5742.12894
7.51000 6018.91526
10.88000 4450.82947
9.82000 4850.92582
7.85000 5749.34879
10.85000 4051.19584
8.50000 5785.74177
8.01000 5924.80462
8.89000 5229.94470
6.47000 6699.18741
7.50000 5767.48378
9.46000 5335.53745
10.17000 4388.74077
11.51000 4320.53360
10.94000 4461.35747
5.97000 7135.06707
7.22000 6255.88489
11.94000 3854.68006
7.97000 5848.75676
8.99000 5009.85708
5.99000 7318.75322
7.06000 6388.88889
7.84000 5643.05040
5.28000 6749.85490
5.62000 7187.35269
5.85000 4740.33850
9.57000 4907.00141
10.40000 4465.58334
5.89000 7343.21022
9.20000 5086.56804
6.91000 6547.22248
10.36000 4328.44241
10.12000 4525.64162
9.53000 5232.89996
8.32000 5375.92390
5.59000 7312.66673
7.85000 5995.08757
6.88000 6063.13255
10.49000 4348.34792
8.49000 5186.03755
6.02000 6896.25720
6.07000 4883.89647
11.28000 4073.74863
6.25000 6634.53870
10.61000 4471.93794
5.84000 6917.73751
7.16000 6166.27526
8.11000 5465.16339
6.61000 6739.65499
6.77000 6059.08394
8.45000 5625.74109
8.05000 5815.21366
8.05000 5752.96601
7.11000 6326.06830
10.69000 4300.89344
10.60000 5584.65810
8.92000 5391.63116
6.31000 6880.24182
8.07000 5709.87839
9.04000 5289.73268
8.32000 5416.96726
7.53000 5667.47572
9.57000 4791.27623
8.36000 5706.31891
8.62000 5452.22187
8.47000 5530.86719
9.81000 4932.94639
8.26000 5663.97255
3.65000 4788.82442
6.85000 6348.35061
5.58000 7571.64296
7.46000 6128.71134
6.11000 6859.01324
5.26000 7974.43898
9.36000 4735.54681
6.15000 6595.42200
5.72000 7367.84641
6.97000 6308.36359
10.04000 4769.30492
3.77000 4783.92874
7.82000 5863.79842
8.84000 5410.60947
5.64000 7398.89678
10.47000 4248.78732
7.18000 6566.41052
9.11000 5120.21272
8.38000 5598.28101
10.89000 4143.00911
4.80000 8537.00106
7.58000 5951.92564
7.13000 6308.36359
7.79000 5971.46167
6.87000 6595.42200
5.77000 6880.24182
11.66000 3937.34585
5.97000 6999.60160
8.41000 5818.92029
7.89000 5778.42373
4.21000 8693.88448
7.79000 5856.26723
5.27000 7795.18440
4.30000 9552.44348
11.06000 4194.27329
6.44000 6348.35061
7.25000 8163.00662
7.86000 5778.42373
8.99000 4904.42278
8.07000 5670.98353
8.59000 5702.76417
7.36000 6348.35061
9.73000 5078.23001
4.28000 7705.41542
7.36000 6141.17779
4.48000 7712.24024
8.04000 5774.77214
8.05000 5752.96601
8.10000 5727.74733
9.45000 4664.87790
10.48000 4417.48770
8.40000 4742.73818
7.41000 6225.70459
7.49000 6128.71134
9.40000 5012.55453
5.72000 7658.00963
9.02000 5165.81437
3.84000 4861.02041
3.53000 4709.37412
8.62000 5465.16339
3.40000 8329.17354
10.92000 3968.48013
7.83000 5932.52637
5.02000 8048.70636
8.21000 5436.13657
6.59000 6229.99684
7.02000 6273.27288
6.90000 6619.81117
8.95000 5188.94032
9.08000 5092.14288
5.58000 7312.66673
4.78000 8402.69528
5.40000 7705.41542
5.47000 7739.67257
6.50000 6734.56756
7.03000 6518.66681
8.59000 5487.96948
9.53000 4774.16903
6.01000 7228.60073
6.37000 6775.50182
7.83000 5852.50941
6.80000 6528.15538
11.03000 3778.52710
5.79000 4676.50129
10.69000 4237.38716
10.74000 4314.62184
6.62000 6729.48846
4.65000 7760.38766
8.48000 5142.90623
7.72000 5909.42566
7.90000 5848.75676
8.91000 5372.79414
4.25000 8288.93703
9.48000 5092.14288
6.01000 6988.56478
6.64000 6664.20780
7.53000 5979.31471
8.34000 5445.77558
5.78000 7386.44238
4.27000 8820.38845
7.51000 6063.13255
7.96000 5760.21510
5.08000 8649.66983
4.67000 8597.26326
8.86000 4969.76118
10.04000 4574.03617
10.81000 4205.43165
9.47000 4523.46744
7.74000 5886.51717
7.12000 5681.53489
9.92000 4467.69943
6.18000 6195.83640
10.29000 4388.74077
9.95000 4866.08438
6.90000 6397.97346
8.77000 5601.69784
5.39000 7788.19769
7.54000 6208.59916
8.09000 5094.93516
9.22000 5206.42968
10.92000 4162.99159
9.60000 4823.39275
10.12000 5280.67193
10.61000 4360.38367
5.29000 7823.26926
6.51000 5145.75795
5.76000 6225.70459
5.96000 7571.64296
8.95000 5360.31381
8.98000 5183.13823
7.88000 5685.06136
7.10000 6116.29924
8.14000 5913.26236
7.73000 5468.40902
6.79000 6200.08437
9.25000 5106.13687
6.30000 6379.83213
8.09000 5372.79414
7.10000 5468.40902
10.08000 4173.97632
10.02000 4417.48770
6.33000 7152.40329
8.60000 5554.26397
7.21000 6407.08599
6.97000 6317.20256
7.94000 6042.94748
5.65000 6639.46366
4.93000 9685.97362
7.29000 5271.64413
6.75000 6624.71247
6.31000 7506.64285
10.84000 4226.05086
10.03000 4657.93305
7.71000 6128.71134
11.98000 3934.09814
7.99000 5468.40902
4.62000 8528.46818
8.60000 5465.16339
7.20000 5897.94755
9.27000 5320.17564
9.71000 4764.45126
10.02000 4648.70707
7.87000 4742.73818
6.80000 6075.31337
8.61000 5326.30905
7.41000 6556.80131
8.49000 5667.47572
6.97000 6366.29886
5.67000 6614.91772
6.24000 4781.48487
7.61000 5540.86856
9.62000 5125.86615
9.52000 4930.33883
10.55000 4250.69360
7.82000 5826.34878
4.82000 8249.12627
10.33000 4603.14856
6.15000 6874.92130
10.50000 4536.54558
8.28000 5742.12894
7.47000 6504.48976
10.40000 5699.21418
6.96000 6585.72071
5.48000 4912.16728
7.31000 5738.52629
10.80000 4308.72701
7.39000 6343.88060
9.15000 5298.82658
9.15000 5581.26343
8.15000 5341.70865
7.29000 6221.41872
7.32000 5554.26397
9.16000 4681.16776
5.78000 6669.18064
8.35000 5601.69784
9.18000 5053.38892
9.58000 4943.40587
10.12000 4302.84904
2.81000 5259.65801
8.27000 5752.96601
8.32000 5594.86863
5.46000 5909.42566
8.30000 5767.48378
6.95000 6124.56795
8.18000 6034.91384
7.54000 5890.32201
6.44000 6018.91526
8.81000 4996.41583
8.83000 4766.87678
6.74000 6379.83213
7.12000 6407.08599
7.09000 6091.63661
6.15000 7324.85079
7.64000 6055.04114
5.28000 6453.07268
4.77000 8667.29595
10.25000 4491.11629
5.99000 7500.20988
8.91000 5789.40824
8.67000 5200.58599
7.70000 6790.99176
9.64000 4972.41309
9.27000 5020.66538
8.76000 5601.69784
7.10000 6251.55411
4.34000 8033.73144
10.76000 4547.50495
9.28000 5137.21285
6.85000 5826.34878
5.95000 5363.42810
8.80000 5567.72874
7.80000 6103.94112
8.89000 5114.57251
8.46000 5530.86719
9.86000 5094.93516
10.39000 3950.39277
8.59000 5615.40987
7.65000 5856.26723
9.48000 5527.54196
9.28000 4828.37418
3.72000 4718.85609
8.65000 5031.52321
9.41000 4917.34468
9.25000 5229.94470
9.69000 4961.82340
4.12000 8402.69528
6.23000 6595.42200
4.16000 5177.34991
6.72000 6352.82742
7.84000 5987.18998
9.42000 5028.80409
9.10000 4996.41583
6.83000 6561.60211
8.02000 5867.57180
6.95000 6542.44442
8.44000 5311.00366
8.48000 5706.31891
8.80000 4754.77515
8.60000 6212.86602
10.37000 4766.87678
8.70000 5177.34991
6.86000 6674.16152
9.18000 5375.92390
9.05000 5311.00366
6.68000 6619.81117
8.41000 5341.70865
7.95000 6018.91526
9.13000 5103.33154
4.44000 9742.84590
9.09000 4959.18343
7.73000 5894.13213
7.63000 5650.00606
8.98000 5301.86528
7.59000 5856.26723
7.03000 6352.82742
8.81000 5547.55763
6.48000 6912.35381
8.41000 5574.48731
8.36000 5162.93900
7.89000 5468.40902
6.57000 6153.69897
7.61000 5886.51717
9.97000 4813.46240
5.60000 7753.46913
11.49000 4348.34792
8.97000 5283.68851
9.54000 4919.93771
10.17000 4121.43744
8.14000 5646.52594
6.36000 6453.07268
7.79000 5601.69784
9.42000 5053.38892
9.55000 5445.77558
8.44000 5375.92390
10.35000 4545.30862
7.60000 5699.21418
5.20000 9401.73039
6.26000 7330.95945
8.53000 5653.49077
11.61000 4037.44626
7.20000 6120.43059
7.47000 5913.26236
5.75000 7513.08790
7.02000 6157.88493
8.07000 5681.53489
7.30000 6187.35925
8.96000 5752.96601
8.10000 5504.38431
9.61000 4798.64758
9.75000 4540.92266
7.21000 5913.26236
10.58000 4196.12871
9.09000 6837.92642
12.35000 3793.50649
6.23000 6552.00811
7.62000 6137.01624
6.20000 6299.55126
10.01000 4616.71708
7.78000 6242.91193
7.66000 6238.60049
8.31000 5863.79842
10.51000 4336.38165
9.58000 4688.18591
9.08000 5262.64910
10.54000 4386.70244
8.25000 5594.86863
7.80000 6128.71134
7.70000 6255.88489
5.68000 6694.16597
3.78000 4728.37841
8.00000 5848.75676
7.77000 6132.86076
6.43000 5050.64470
6.23000 6780.65661
10.20000 4368.44640
8.01000 6075.31337
7.16000 6719.35513
6.10000 7637.88781
7.33000 5478.17062
6.46000 6379.83213
11.49000 4891.57251
8.50000 5455.45112
7.34000 5932.52637
6.72000 6108.05452
7.52000 6145.34542
7.17000 6303.95410
5.70000 7181.50195
10.11000 4429.92922
8.73000 5360.31381
9.37000 5004.47140
6.78000 6600.28425
5.04000 4991.06070
9.46000 4818.42217
10.31000 4863.55101
6.58000 5567.72874
9.48000 5028.80409
9.16000 5238.82115
9.65000 4881.34345
7.69000 5955.82186
6.88000 5890.32201
8.64000 5148.61302
8.96000 5012.55453
10.53000 5140.05787
8.80000 5404.26756
7.93000 5971.46167
8.15000 5357.20337
9.26000 5372.79414
5.07000 8838.79389
7.07000 5951.92564
7.16000 6366.29886
8.48000 6221.41872
7.95000 6022.90635
7.11000 6552.00811
8.78000 5527.54196
5.59000 7330.95945
8.32000 5702.76417
6.71000 6443.81834
8.79000 5125.86615
6.97000 7135.06707
5.89000 5959.72356
9.64000 4825.88210
6.37000 7234.53550
10.84000 3654.60110
4.89000 6811.76500
10.92000 4162.99159
6.89000 6513.93370
9.95000 4429.92922
3.94000 4690.53022
3.93000 4664.87790
11.06000 4209.16493
10.25000 4600.89530
5.80000 7337.07925
7.72000 5920.95183
8.79000 4996.41583
3.57000 4912.16728
8.39000 5301.86528
7.08000 6063.13255
10.02000 4409.23403
7.14000 6439.20192
7.93000 6187.35925
7.09000 6443.81834
7.88000 5963.63075
9.26000 5235.85878
8.58000 5514.28361
5.76000 6816.97989
9.36000 5168.69313
8.37000 5702.76417
8.00000 5852.50941
5.78000 6770.35553
8.06000 5530.86719
7.61000 5571.10583
8.68000 5507.67986
8.73000 5699.21418
6.74000 6083.46321
10.90000 4702.28898
8.43000 5510.97962
7.30000 6178.90704
9.70000 4287.25628
7.27000 6208.59916
8.18000 5886.51717
8.86000 4791.27623
7.62000 6149.51914
6.65000 6221.41872
5.73000 5206.42968
8.83000 5100.52949
11.29000 3983.40782
6.61000 5995.08757
8.19000 5894.13213
9.39000 5221.10015
8.42000 5685.06136
9.62000 4709.37412
9.25000 4828.37418
7.74000 6030.90563
8.80000 5203.50609
11.48000 4295.03783
6.18000 5940.26976
4.34000 4386.70244
8.48000 5478.17062
7.07000 6010.95011
7.06000 6217.13920
10.10000 4692.87701
7.35000 4861.02041
10.39000 4671.84462
6.11000 6634.53870
10.24000 4054.64852
9.19000 5131.53284
9.95000 4718.85609
10.89000 3983.40782
7.17000 5793.07969
7.98000 5818.92029
7.40000 6277.63618
7.12000 6108.05452
11.97000 4237.38716
9.18000 5265.64382
8.22000 5311.00366
9.58000 4953.91241
8.13000 5928.66280
7.44000 5852.50941
8.26000 5742.12894
7.05000 5484.69904
6.69000 6734.56756
5.47000 8109.22508
7.22000 6348.35061
9.72000 4786.37526
9.17000 5413.78638
8.73000 5344.79996
7.29000 6212.86602
7.02000 6317.20256
7.54000 5845.00927
8.19000 5608.54490
6.12000 6744.75076
8.00000 5688.59251
7.82000 5738.52629
10.97000 4527.81800
7.42000 6034.91384
7.18000 5975.38542
4.66000 10002.18852
3.94000 4551.90432
8.91000 5280.67193
9.09000 4801.11003
3.38000 5653.49077
6.71000 6754.96742
10.56000 5514.28361
10.99000 4017.00351
11.24000 3665.77232
7.27000 6229.99684
7.15000 6375.31414
7.42000 6467.00818
8.62000 5615.40987
10.34000 4493.25789
10.49000 4917.34468
10.69000 4126.80832
8.46000 5385.33653
8.32000 4996.41583
9.44000 5209.35676
6.73000 5724.16397
3.11000 4796.18780
8.94000 4975.06799
8.16000 5564.35601
7.48000 6145.34542
7.32000 6339.41738
5.43000 7423.94377
5.22000 8579.94982
8.67000 5416.96726
5.68000 8094.00173
7.10000 6499.77888
9.06000 5154.33327
9.35000 5007.16270
7.84000 5416.96726
7.80000 6225.70459
9.71000 5045.16571
8.63000 5183.13823
7.93000 5774.77214
10.66000 4630.37012
9.26000 4904.42278
11.01000 4281.43948
8.00000 6443.81834
7.36000 5917.10441
8.46000 5510.97962
7.96000 5875.13423
8.51000 5636.11302
6.61000 6644.39655
8.67000 5241.78709
8.15000 5867.57180
8.25000 6046.97292
8.28000 6046.97292
6.77000 6075.31337
8.15000 5760.21510
7.15000 5928.66280
10.80000 3669.97982
10.40000 4512.62941
9.55000 4660.24558
8.05000 5625.74109
8.36000 5749.34879
10.22000 4467.69943
7.95000 5867.57180
6.30000 6537.67389
6.12000 6988.56478
9.00000 5142.90623
6.67000 6357.31106
8.81000 5688.59251
8.29000 5520.90429
7.69000 5991.13598
9.94000 5111.75734
9.64000 4848.40909
6.98000 6357.31106
9.45000 4808.51340
6.90000 6303.95410
7.20000 5948.03489
7.01000 6212.86602
6.50000 6912.35381
11.52000 4061.57234
11.70000 4514.79264
8.66000 4983.05076
10.06000 4558.52018
7.27000 6339.41738
8.43000 5577.87317
8.40000 5706.31891
9.08000 5311.00366
5.77000 6255.88489
8.85000 5567.72874
7.52000 4803.57514
8.82000 5653.49077
9.17000 5232.89996
8.23000 5247.72970
8.91000 5445.77558
7.74000 5727.74733
6.69000 6429.99049
10.01000 4580.71996
7.12000 6195.83640
6.90000 6370.80305
6.96000 6495.07537
9.03000 5344.79996
3.52000 6317.20256
6.91000 5501.09296
8.92000 5058.88687
7.16000 5197.66937
7.16000 5886.51717
8.41000 5796.75614
5.64000 8922.68161
7.85000 5890.32201
10.36000 4609.92231
11.43000 4010.23716
8.04000 6312.77973
7.93000 6137.01624
7.72000 5975.38542
6.80000 6467.00818
8.86000 5484.69904
9.82000 4930.33883
7.58000 5928.66280
6.24000 6485.69042
10.04000 4514.79264
6.42000 6059.08394
9.46000 5160.06704
7.34000 6187.35925
5.29000 7945.15166
7.80000 6091.63661
3.88000 4266.00852
7.71000 6034.91384
6.87000 6166.27526
8.12000 5920.95183
7.93000 5789.40824
6.70000 6499.77888
7.60000 6128.71134
8.40000 5605.11914
7.78000 6038.92779
7.38000 6046.97292
9.86000 4578.48975
8.85000 5244.75661
8.82000 5162.93900
10.38000 4356.36399
6.75000 6242.91193
5.71000 6357.31106
8.72000 5142.90623
10.17000 4066.78144
8.15000 5727.74733
8.60000 5404.26756
8.83000 5584.65810
7.49000 5574.48731
7.45000 6137.01624
8.07000 6006.97602
8.42000 5404.26756
10.86000 4244.98014
6.45000 6416.22661
9.08000 5050.64470
8.18000 5286.70876
11.05000 5140.05787
9.90000 5017.95867
5.27000 7746.56412
7.21000 6407.08599
11.64000 4457.14000
8.84000 5660.47401
8.97000 5341.70865
8.72000 5771.12550
3.45000 9777.32749
7.62000 5845.00927
8.80000 5320.17564
7.82000 6091.63661
8.03000 5544.21094
6.00000 4690.53022
9.23000 5142.90623
10.26000 4403.06499
7.59000 5909.42566
9.79000 4752.36260
7.50000 6191.59470
9.44000 4853.44531
9.88000 4855.96757
5.34000 7788.19769
8.39000 5845.00927
10.69000 4308.72701
4.20000 4975.06799
7.83000 5771.12550
5.52000 7837.39514
9.78000 4855.96757
6.04000 6384.35704
8.44000 5852.50941
6.29000 6504.48976
6.29000 6694.16597
8.71000 5311.00366
10.55000 4161.16668
10.73000 4241.18009
9.41000 5274.64975
11.73000 4040.87452
5.84000 5987.18998
8.62000 5564.35601
9.68000 4901.84702
8.38000 5674.49599
9.73000 4833.36649
5.51000 8486.08451
7.03000 5811.51208
11.00000 4008.54929
10.77000 4560.72996
7.97000 5826.34878
8.05000 5706.31891
7.49000 5987.18998
11.95000 3968.48013
7.92000 5890.32201
7.88000 6229.99684
3.11000 4246.88284
10.49000 4340.36273
9.25000 5151.47146
10.80000 4413.35682
9.72000 4935.55686
7.85000 6443.81834
8.08000 5601.69784
10.22000 4959.18343
6.56000 6330.51124
10.20000 5001.78315
9.79000 4630.37012
7.76000 6051.00414
10.05000 4569.59170
7.18000 6128.71134
7.02000 5796.75614
8.18000 5311.00366
5.91000 4718.85609
6.73000 6547.22248
8.42000 5520.90429
10.07000 4540.92266
5.91000 6749.85490
7.28000 6669.18064
7.89000 5833.79763
9.72000 5256.67053
7.94000 5875.13423
8.16000 5577.87317
11.40000 4203.56761
11.13000 4474.06036
8.26000 5845.00927
5.70000 7021.78943
8.21000 5785.74177
6.53000 6659.24300
10.64000 4275.63918
6.03000 6030.90563
4.98000 8435.83325
9.73000 5083.78547
11.67000 4231.71107
8.17000 5622.29284
